date,week,site,rep,plant,flower_count,deadOrAlive
2/25/2025,1,A,1,#1,2,1
2/25/2025,1,A,2,#2,1,1
2/25/2025,1,A,3,#3,1,1
3/4/2025,2,A,1,#1,3,1
3/4/2025,2,A,2,#2,1,1
3/4/2025,2,A,3,#3,1,1
3/4/2025,2,A,4,#4,1,1
3/4/2025,2,A,5,#5,1,1
3/4/2025,2,A,6,#6,1,1
3/4/2025,2,A,7,#7,1,1
3/4/2025,2,A,8,#8,1,1
3/4/2025,2,A,9,#9,1,1
3/4/2025,2,A,10,#10,1,1
3/4/2025,2,A,11,#11,1,1
3/4/2025,2,A,12,#12,1,1
3/11/2025,3,A,1,#1,1,1
3/11/2025,3,A,2,#2,4,1
3/11/2025,3,A,3,#3,2,1
3/11/2025,3,A,4,#4,1,1
3/11/2025,3,A,5,#5,1,1
3/11/2025,3,A,6,#6,1,1
3/11/2025,3,A,7,#7,0,1
3/11/2025,3,A,8,#8,0,1
3/11/2025,3,A,9,#9,1,1
3/11/2025,3,A,10,#10,1,1
3/11/2025,3,A,11,#11,1,1
3/11/2025,3,A,12,#12,1,1
3/11/2025,3,A,13,#13,1,1
3/11/2025,3,A,14,#14,1,1
3/11/2025,3,A,15,#15,1,1
3/11/2025,3,A,16,#16,1,1
3/18/2025,4,A,1,#1,5,1
3/18/2025,4,A,2,#2,4,1
3/18/2025,4,A,3,#3,5,1
3/18/2025,4,A,4,#4,2,1
3/18/2025,4,A,5,#5,1,1
3/18/2025,4,A,6,#6,2,1
3/18/2025,4,A,7,#7,1,1
3/18/2025,4,A,8,#8,1,1
3/18/2025,4,A,9,#9,1,1
3/18/2025,4,A,10,#10,2,1
3/18/2025,4,A,11,#11,0,1
3/18/2025,4,A,12,#12,2,1
3/18/2025,4,A,13,#13,0,1
3/18/2025,4,A,14,#14,0,1
3/18/2025,4,A,15,#15,0,1
3/18/2025,4,A,16,#16,2,1
3/18/2025,4,A,17,#17,1,1
3/18/2025,4,A,18,#18,1,1
3/18/2025,4,A,19,#19,1,1
3/18/2025,4,A,20,#20,1,1
3/25/2025,5,A,1,#1,13,1
3/25/2025,5,A,2,#2,2,1
3/25/2025,5,A,3,#3,8,1
3/25/2025,5,A,4,#4,1,1
3/25/2025,5,A,5,#5,1,1
3/25/2025,5,A,6,#6,2,1
3/25/2025,5,A,7,#7,0,1
3/25/2025,5,A,8,#8,0,1
3/25/2025,5,A,9,#9,2,1
3/25/2025,5,A,10,#10,0,1
3/25/2025,5,A,11,#11,0,1
3/25/2025,5,A,12,#12,4,1
3/25/2025,5,A,13,#13,1,1
3/25/2025,5,A,14,#14,0,1
3/25/2025,5,A,15,#15,0,1
3/25/2025,5,A,16,#16,2,1
3/25/2025,5,A,17,#17,3,1
3/25/2025,5,A,18,#18,0,1
3/25/2025,5,A,19,#19,2,1
3/25/2025,5,A,20,#20,1,1
4/3/2025,6,A,1,#1,20,1
4/3/2025,6,A,2,#2,2,1
4/3/2025,6,A,3,#3,16,1
4/3/2025,6,A,4,#4,4,1
4/3/2025,6,A,5,#5,0,1
4/3/2025,6,A,6,#6,1,1
4/3/2025,6,A,7,#7,0,1
4/3/2025,6,A,8,#8,0,1
4/3/2025,6,A,9,#9,1,1
4/3/2025,6,A,10,#10,0,1
4/3/2025,6,A,11,#11,0,1
4/3/2025,6,A,12,#12,1,1
4/3/2025,6,A,13,#13,0,1
4/3/2025,6,A,14,#14,0,1
4/3/2025,6,A,15,#15,0,1
4/3/2025,6,A,16,#16,3,1
4/3/2025,6,A,17,#17,8,1
4/3/2025,6,A,18,#18,1,1
4/3/2025,6,A,19,#19,0,1
4/3/2025,6,A,20,#20,1,1
4/8/2025,7,A,1,#1,21,1
4/8/2025,7,A,2,#2,0,1
4/8/2025,7,A,3,#3,18,1
4/8/2025,7,A,4,#4,3,1
4/8/2025,7,A,5,#5,0,1
4/8/2025,7,A,6,#6,0,1
4/8/2025,7,A,7,#7,0,1
4/8/2025,7,A,8,#8,0,1
4/8/2025,7,A,9,#9,1,1
4/8/2025,7,A,10,#10,0,1
4/8/2025,7,A,11,#11,1,1
4/8/2025,7,A,12,#12,5,1
4/8/2025,7,A,13,#13,0,1
4/8/2025,7,A,14,#14,0,1
4/8/2025,7,A,15,#15,1,1
4/8/2025,7,A,16,#16,3,1
4/8/2025,7,A,17,#17,11,1
4/8/2025,7,A,18,#18,1,1
4/8/2025,7,A,19,#19,0,1
4/8/2025,7,A,20,#20,0,0
4/15/2025,8,A,1,#1,18,1
4/15/2025,8,A,2,#2,2,1
4/15/2025,8,A,3,#3,5,1
4/15/2025,8,A,4,#4,2,1
4/15/2025,8,A,5,#5,2,1
4/15/2025,8,A,6,#6,0,1
4/15/2025,8,A,7,#7,1,1
4/15/2025,8,A,8,#8,0,1
4/15/2025,8,A,9,#9,3,1
4/15/2025,8,A,10,#10,0,1
4/15/2025,8,A,11,#11,0,1
4/15/2025,8,A,12,#12,4,1
4/15/2025,8,A,13,#13,2,1
4/15/2025,8,A,14,#14,0,1
4/15/2025,8,A,15,#15,3,1
4/15/2025,8,A,16,#16,3,1
4/15/2025,8,A,17,#17,6,1
4/15/2025,8,A,18,#18,0,1
4/15/2025,8,A,19,#19,1,1
4/15/2025,8,A,20,#20,0,0
4/22/2025,9,A,1,#1,1,1
4/22/2025,9,A,2,#2,0,1
4/22/2025,9,A,3,#3,2,1
4/22/2025,9,A,4,#4,0,1
4/22/2025,9,A,5,#5,0,1
4/22/2025,9,A,6,#6,0,1
4/22/2025,9,A,7,#7,0,1
4/22/2025,9,A,8,#8,0,1
4/22/2025,9,A,9,#9,1,1
4/22/2025,9,A,10,#10,0,1
4/22/2025,9,A,11,#11,0,1
4/22/2025,9,A,12,#12,0,1
4/22/2025,9,A,13,#13,0,1
4/22/2025,9,A,14,#14,0,1
4/22/2025,9,A,15,#15,0,1
4/22/2025,9,A,16,#16,0,1
4/22/2025,9,A,17,#17,6,1
4/22/2025,9,A,18,#18,0,1
4/22/2025,9,A,19,#19,0,1
4/22/2025,9,A,20,#20,0,0
4/29/2025,10,A,1,#1,0,1
4/29/2025,10,A,2,#2,1,1
4/29/2025,10,A,3,#3,0,1
4/29/2025,10,A,4,#4,0,1
4/29/2025,10,A,5,#5,0,1
4/29/2025,10,A,6,#6,0,1
4/29/2025,10,A,7,#7,1,1
4/29/2025,10,A,8,#8,0,1
4/29/2025,10,A,9,#9,1,1
4/29/2025,10,A,10,#10,0,1
4/29/2025,10,A,11,#11,0,1
4/29/2025,10,A,12,#12,0,1
4/29/2025,10,A,13,#13,0,1
4/29/2025,10,A,14,#14,0,1
4/29/2025,10,A,15,#15,0,1
4/29/2025,10,A,16,#16,0,1
4/29/2025,10,A,17,#17,2,1
4/29/2025,10,A,18,#18,2,1
4/29/2025,10,A,19,#19,1,1
4/29/2025,10,A,20,#20,0,0
5/6/2025,11,A,1,#1,0,1
5/6/2025,11,A,2,#2,0,1
5/6/2025,11,A,3,#3,0,1
5/6/2025,11,A,4,#4,0,1
5/6/2025,11,A,5,#5,0,1
5/6/2025,11,A,6,#6,0,1
5/6/2025,11,A,7,#7,0,1
5/6/2025,11,A,8,#8,0,1
5/6/2025,11,A,9,#9,0,1
5/6/2025,11,A,10,#10,0,0
5/6/2025,11,A,11,#11,0,0
5/6/2025,11,A,12,#12,0,1
5/6/2025,11,A,13,#13,0,1
5/6/2025,11,A,14,#14,0,1
5/6/2025,11,A,15,#15,0,1
5/6/2025,11,A,16,#16,0,1
5/6/2025,11,A,17,#17,0,1
5/6/2025,11,A,18,#18,0,1
5/6/2025,11,A,19,#19,1,1
5/6/2025,11,A,20,#20,0,0
5/13/2025,12,A,1,#1,0,1
5/13/2025,12,A,2,#2,1,1
5/13/2025,12,A,3,#3,0,1
5/13/2025,12,A,4,#4,0,1
5/13/2025,12,A,5,#5,0,1
5/13/2025,12,A,6,#6,0,1
5/13/2025,12,A,7,#7,0,1
5/13/2025,12,A,8,#8,0,1
5/13/2025,12,A,9,#9,0,0
5/13/2025,12,A,10,#10,0,0
5/13/2025,12,A,11,#11,0,0
5/13/2025,12,A,12,#12,0,1
5/13/2025,12,A,13,#13,0,1
5/13/2025,12,A,14,#14,0,1
5/13/2025,12,A,15,#15,0,1
5/13/2025,12,A,16,#16,1,1
5/13/2025,12,A,17,#17,0,1
5/13/2025,12,A,18,#18,0,1
5/13/2025,12,A,19,#19,0,1
5/13/2025,12,A,20,#20,0,0
5/20/2025,13,A,1,#1,0,1
5/20/2025,13,A,2,#2,1,1
5/20/2025,13,A,3,#3,0,1
5/20/2025,13,A,4,#4,0,1
5/20/2025,13,A,5,#5,0,1
5/20/2025,13,A,6,#6,0,0
5/20/2025,13,A,7,#7,0,1
5/20/2025,13,A,8,#8,0,1
5/20/2025,13,A,9,#9,0,0
5/20/2025,13,A,10,#10,0,0
5/20/2025,13,A,11,#11,0,0
